Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","10u","C_0805_2012Metric",45.375000,-90.475000,-90.000000,bottom
"C2","100n","C_0402_1005Metric",53.720000,-60.225000,0.000000,bottom
"C3","15p","C_0402_1005Metric",27.750000,-63.250000,180.000000,bottom
"C4","15p","C_0402_1005Metric",27.750000,-62.250000,180.000000,bottom
"C5","10u","C_0805_2012Metric",36.575000,-83.925000,90.000000,bottom
"C6","4.7u","C_0402_1005Metric",48.600000,-57.200000,90.000000,bottom
"C7","4.7u","C_0402_1005Metric",49.600000,-57.200000,90.000000,bottom
"C8","100n","C_0402_1005Metric",42.625000,-67.080000,-90.000000,bottom
"C9","4.7u","C_0402_1005Metric",49.080000,-55.000000,180.000000,bottom
"C10","4.7u","C_0402_1005Metric",35.000000,-59.800000,180.000000,bottom
"C11","100n","C_0402_1005Metric",43.325000,-52.770000,90.000000,bottom
"C12","100n","C_0402_1005Metric",49.000000,-59.800000,0.000000,bottom
"C13","100n","C_0402_1005Metric",35.500000,-61.675000,180.000000,bottom
"C14","100n","C_0402_1005Metric",49.805000,-64.025000,0.000000,bottom
"C15","100n","C_0402_1005Metric",46.225000,-68.225000,-90.000000,bottom
"C16","100n","C_0402_1005Metric",42.200000,-52.755000,90.000000,bottom
"C17","100n","C_0402_1005Metric",40.475000,-67.670000,-90.000000,bottom
"C18","100n","C_0402_1005Metric",38.400000,-53.600000,90.000000,bottom
"C19","10u","C_0805_2012Metric",36.275000,-104.450000,180.000000,bottom
"C20","100n","C_0402_1005Metric",46.800000,-53.600000,90.000000,bottom
"C21","100n","C_0402_1005Metric",35.720000,-63.400000,180.000000,bottom
"C79","100nF","C_0402_1005Metric",28.775000,-43.100000,0.000000,bottom
"D1","D","D_0402_1005Metric",57.185000,-99.200000,180.000000,bottom
"D2","LED_ARGB","RGBLED-reverse",28.050000,-77.900000,180.000000,bottom
"D3","LED_ARGB","RGBLED-reverse",51.550000,-115.887500,180.000000,bottom
"D4","LED_ARGB","RGBLED-reverse",57.575000,-77.900000,180.000000,bottom
