Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x07","screen",42.695000,-45.700000,0.000000,top
"KP#1","Jumper_2_Open","ButtonPads",55.520000,-121.475000,0.000000,top
"KP*1","Jumper_2_Open","ButtonPads",30.520000,-121.475000,0.000000,top
"KP0","Jumper_2_Open","ButtonPads",43.020000,-123.475000,0.000000,top
"KP1","Jumper_2_Open","ButtonPads",29.020000,-97.475000,0.000000,top
"KP2","Jumper_2_Open","ButtonPads",43.020000,-99.225000,0.000000,top
"KP3","3","ButtonPads",56.770000,-97.475000,0.000000,top
"KP4","Jumper_2_Open","ButtonPads",30.270000,-105.725000,0.000000,top
"KP5","Jumper_2_Open","ButtonPads",43.020000,-107.225000,0.000000,top
"KP6","Jumper_2_Open","ButtonPads",55.770000,-105.725000,0.000000,top
"KP7","Jumper_2_Open","ButtonPads",30.020000,-113.427384,0.000000,top
"KP8","Jumper_2_Open","ButtonPads",43.020000,-115.475000,0.000000,top
"KP9","Jumper_2_Open","ButtonPads",56.020000,-113.475000,0.000000,top
"KPC1","C","ButtonPads",31.050000,-86.200000,0.000000,top
"KPDOWN1","Jumper_2_Open","ButtonPads",50.000000,-90.000000,0.000000,top
"KPSELECT1","Jumper_2_Open","ButtonPads",43.020000,-82.250000,0.000000,top
"KPUP1","Jumper_2_Open","ButtonPads",56.770000,-84.775000,0.000000,top
